"year";"plot";"subplot";"species";"individuals"
2016;1;"B6";"LEMA";8
2017;1;"B6";"LEMA";145
2019;1;"B6";"LEMA";20
2015;2;"B6";"LEMA";13
2016;2;"B6";"LEMA";24
2017;2;"B6";"LEMA";76
2019;2;"B6";"LEMA";25
2015;3;"B6";"LEMA";18
2016;3;"B6";"LEMA";1
2017;3;"B6";"LEMA";20
2019;3;"B6";"LEMA";20
2015;4;"B6";"LEMA";5
2016;4;"B6";"LEMA";8
2017;4;"B6";"LEMA";4
2019;4;"B6";"LEMA";0
2015;5;"B6";"LEMA";0
2016;5;"B6";"LEMA";0
2017;5;"B6";"LEMA";45
2019;5;"B6";"LEMA";10
2015;6;"B6";"LEMA";1
2016;6;"B6";"LEMA";4
2017;6;"B6";"LEMA";60
2019;6;"B6";"LEMA";8
2015;7;"B6";"LEMA";0
2016;7;"B6";"LEMA";0
2017;7;"B6";"LEMA";0
2019;7;"B6";"LEMA";20
2015;8;"B6";"LEMA";0
2016;8;"B6";"LEMA";0
2017;8;"B6";"LEMA";0
2019;8;"B6";"LEMA";3
2015;9;"B6";"LEMA";0
2016;9;"B6";"LEMA";0
2017;9;"B6";"LEMA";0
2019;9;"B6";"LEMA";7
2015;1;"C1";"LEMA";14
2016;1;"C1";"LEMA";32
2017;1;"C1";"LEMA";210
2019;1;"C1";"LEMA";12
2015;2;"C1";"LEMA";23
2016;2;"C1";"LEMA";8
2017;2;"C1";"LEMA";53
2019;2;"C1";"LEMA";10
2015;3;"C1";"LEMA";14
2016;3;"C1";"LEMA";1
2017;3;"C1";"LEMA";180
2019;3;"C1";"LEMA";7
2015;4;"C1";"LEMA";8
2016;4;"C1";"LEMA";24
2017;4;"C1";"LEMA";63
2019;4;"C1";"LEMA";12
2015;5;"C1";"LEMA";8
2016;5;"C1";"LEMA";5
2017;5;"C1";"LEMA";8
2019;5;"C1";"LEMA";3
2015;6;"C1";"LEMA";4
2016;6;"C1";"LEMA";8
2017;6;"C1";"LEMA";11
2019;6;"C1";"LEMA";7
2015;7;"C1";"LEMA";0
2016;7;"C1";"LEMA";2
2017;7;"C1";"LEMA";0
2019;7;"C1";"LEMA";20
2015;8;"C1";"LEMA";0
2016;8;"C1";"LEMA";0
2017;8;"C1";"LEMA";0
2019;8;"C1";"LEMA";1
2015;9;"C1";"LEMA";0
2016;9;"C1";"LEMA";1
2017;9;"C1";"LEMA";0
2019;9;"C1";"LEMA";1
2015;1;"C2";"LEMA";13
2016;1;"C2";"LEMA";20
2017;1;"C2";"LEMA";140
2019;1;"C2";"LEMA";25
2015;2;"C2";"LEMA";22
2016;2;"C2";"LEMA";8
2017;2;"C2";"LEMA";84
2019;2;"C2";"LEMA";15
2015;3;"C2";"LEMA";25
2016;3;"C2";"LEMA";12
2017;3;"C2";"LEMA";150
2019;3;"C2";"LEMA";14
2015;4;"C2";"LEMA";9
2016;4;"C2";"LEMA";4
2017;4;"C2";"LEMA";74
2019;4;"C2";"LEMA";35
2015;5;"C2";"LEMA";6
2016;5;"C2";"LEMA";4
2017;5;"C2";"LEMA";72
2019;5;"C2";"LEMA";30
2015;6;"C2";"LEMA";13
2016;6;"C2";"LEMA";12
2017;6;"C2";"LEMA";48
2019;6;"C2";"LEMA";15
2015;7;"C2";"LEMA";0
2016;7;"C2";"LEMA";0
2017;7;"C2";"LEMA";0
2019;7;"C2";"LEMA";6
2015;8;"C2";"LEMA";0
2016;8;"C2";"LEMA";0
2017;8;"C2";"LEMA";0
2019;8;"C2";"LEMA";5
2015;9;"C2";"LEMA";0
2016;9;"C2";"LEMA";2
2017;9;"C2";"LEMA";0
2019;9;"C2";"LEMA";2
2015;1;"C3";"LEMA";9
2016;1;"C3";"LEMA";12
2017;1;"C3";"LEMA";130
2019;1;"C3";"LEMA";11
2015;2;"C3";"LEMA";27
2016;2;"C3";"LEMA";4
2017;2;"C3";"LEMA";72
2019;2;"C3";"LEMA";20
2015;3;"C3";"LEMA";15
2016;3;"C3";"LEMA";40
2017;3;"C3";"LEMA";220
2019;3;"C3";"LEMA";5
2015;4;"C3";"LEMA";13
2016;4;"C3";"LEMA";12
2017;4;"C3";"LEMA";47
2019;4;"C3";"LEMA";22
2015;5;"C3";"LEMA";12
2016;5;"C3";"LEMA";6
2017;5;"C3";"LEMA";95
2019;5;"C3";"LEMA";25
2015;6;"C3";"LEMA";4
2016;6;"C3";"LEMA";8
2017;6;"C3";"LEMA";6
2019;6;"C3";"LEMA";5
2015;7;"C3";"LEMA";0
2016;7;"C3";"LEMA";0
2017;7;"C3";"LEMA";0
2019;7;"C3";"LEMA";15
2015;8;"C3";"LEMA";0
2016;8;"C3";"LEMA";0
2017;8;"C3";"LEMA";0
2019;8;"C3";"LEMA";9
2015;9;"C3";"LEMA";0
2016;9;"C3";"LEMA";2
2017;9;"C3";"LEMA";0
2019;9;"C3";"LEMA";1
2015;1;"C4";"LEMA";13
2016;1;"C4";"LEMA";20
2017;1;"C4";"LEMA";140
2019;1;"C4";"LEMA";25
2015;2;"C4";"LEMA";22
2016;2;"C4";"LEMA";8
2017;2;"C4";"LEMA";130
2019;2;"C4";"LEMA";40
2015;3;"C4";"LEMA";10
2016;3;"C4";"LEMA";36
2017;3;"C4";"LEMA";190
2019;3;"C4";"LEMA";9
2015;4;"C4";"LEMA";12
2016;4;"C4";"LEMA";16
2017;4;"C4";"LEMA";37
2019;4;"C4";"LEMA";18
2015;5;"C4";"LEMA";9
2016;5;"C4";"LEMA";5
2017;5;"C4";"LEMA";280
2019;5;"C4";"LEMA";10
2015;6;"C4";"LEMA";1
2016;6;"C4";"LEMA";0
2017;6;"C4";"LEMA";19
2019;6;"C4";"LEMA";2
2015;7;"C4";"LEMA";0
2016;7;"C4";"LEMA";0
2017;7;"C4";"LEMA";0
2019;7;"C4";"LEMA";30
2015;8;"C4";"LEMA";0
2016;8;"C4";"LEMA";0
2017;8;"C4";"LEMA";0
2019;8;"C4";"LEMA";4
2015;9;"C4";"LEMA";0
2016;9;"C4";"LEMA";0
2017;9;"C4";"LEMA";0
2019;9;"C4";"LEMA";4
2015;1;"C5";"LEMA";12
2016;1;"C5";"LEMA";36
2017;1;"C5";"LEMA";190
2019;1;"C5";"LEMA";15
2015;2;"C5";"LEMA";17
2016;2;"C5";"LEMA";44
2017;2;"C5";"LEMA";140
2019;2;"C5";"LEMA";30
2015;3;"C5";"LEMA";21
2016;3;"C5";"LEMA";28
2017;3;"C5";"LEMA";250
2019;3;"C5";"LEMA";8
2015;4;"C5";"LEMA";8
2016;4;"C5";"LEMA";16
2017;4;"C5";"LEMA";9
2019;4;"C5";"LEMA";4
2015;5;"C5";"LEMA";2
2016;5;"C5";"LEMA";0
2017;5;"C5";"LEMA";72
2019;5;"C5";"LEMA";5
2015;6;"C5";"LEMA";1
2016;6;"C5";"LEMA";8
2017;6;"C5";"LEMA";7
2019;6;"C5";"LEMA";8
2015;7;"C5";"LEMA";0
2016;7;"C5";"LEMA";0
2017;7;"C5";"LEMA";0
2019;7;"C5";"LEMA";30
2015;8;"C5";"LEMA";0
2016;8;"C5";"LEMA";0
2017;8;"C5";"LEMA";0
2019;8;"C5";"LEMA";0
2015;9;"C5";"LEMA";0
2016;9;"C5";"LEMA";0
2017;9;"C5";"LEMA";0
2019;9;"C5";"LEMA";2
2015;1;"C6";"LEMA";22
2016;1;"C6";"LEMA";56
2017;1;"C6";"LEMA";120
2019;1;"C6";"LEMA";40
2015;2;"C6";"LEMA";10
2016;2;"C6";"LEMA";16
2017;2;"C6";"LEMA";105
2019;2;"C6";"LEMA";25
2015;3;"C6";"LEMA";17
2016;3;"C6";"LEMA";4
2017;3;"C6";"LEMA";220
2019;3;"C6";"LEMA";30
2015;4;"C6";"LEMA";4
2016;4;"C6";"LEMA";12
2017;4;"C6";"LEMA";5
2019;4;"C6";"LEMA";6
2015;5;"C6";"LEMA";0
2016;5;"C6";"LEMA";0
2017;5;"C6";"LEMA";46
2019;5;"C6";"LEMA";9
2015;6;"C6";"LEMA";2
2016;6;"C6";"LEMA";16
2017;6;"C6";"LEMA";59
2019;6;"C6";"LEMA";9
2015;7;"C6";"LEMA";0
2016;7;"C6";"LEMA";0
2017;7;"C6";"LEMA";0
2019;7;"C6";"LEMA";10
2015;8;"C6";"LEMA";0
2016;8;"C6";"LEMA";0
2017;8;"C6";"LEMA";0
2019;8;"C6";"LEMA";4
2015;9;"C6";"LEMA";0
2016;9;"C6";"LEMA";0
2017;9;"C6";"LEMA";0
2019;9;"C6";"LEMA";1
2015;1;"D1";"LEMA";16
2016;1;"D1";"LEMA";36
2017;1;"D1";"LEMA";180
2019;1;"D1";"LEMA";25
2015;2;"D1";"LEMA";28
2016;2;"D1";"LEMA";16
2017;2;"D1";"LEMA";130
2019;2;"D1";"LEMA";20
2015;3;"D1";"LEMA";5
2016;3;"D1";"LEMA";2
2017;3;"D1";"LEMA";58
2019;3;"D1";"LEMA";4
2015;4;"D1";"LEMA";2
2016;4;"D1";"LEMA";4
2017;4;"D1";"LEMA";0
2019;4;"D1";"LEMA";4
2015;5;"D1";"LEMA";13
2016;5;"D1";"LEMA";0
2017;5;"D1";"LEMA";45
2019;5;"D1";"LEMA";14
2015;6;"D1";"LEMA";1
2016;6;"D1";"LEMA";0
2017;6;"D1";"LEMA";0
2019;6;"D1";"LEMA";4
2015;7;"D1";"LEMA";0
2016;7;"D1";"LEMA";0
2017;7;"D1";"LEMA";0
2019;7;"D1";"LEMA";3
2015;8;"D1";"LEMA";0
2016;8;"D1";"LEMA";0
2017;8;"D1";"LEMA";0
2019;8;"D1";"LEMA";5
2015;9;"D1";"LEMA";0
2016;9;"D1";"LEMA";1
2017;9;"D1";"LEMA";0
2019;9;"D1";"LEMA";5
2015;1;"D2";"LEMA";17
2016;1;"D2";"LEMA";52
2017;1;"D2";"LEMA";190
2019;1;"D2";"LEMA";35
2015;2;"D2";"LEMA";16
2016;2;"D2";"LEMA";12
2017;2;"D2";"LEMA";142
2019;2;"D2";"LEMA";30
2015;3;"D2";"LEMA";13
2016;3;"D2";"LEMA";4
2017;3;"D2";"LEMA";170
2019;3;"D2";"LEMA";2
2015;4;"D2";"LEMA";8
2016;4;"D2";"LEMA";12
2017;4;"D2";"LEMA";9
2019;4;"D2";"LEMA";3
2015;5;"D2";"LEMA";8
2016;5;"D2";"LEMA";2
2017;5;"D2";"LEMA";37
2019;5;"D2";"LEMA";16
2015;6;"D2";"LEMA";4
2016;6;"D2";"LEMA";4
2017;6;"D2";"LEMA";8
2019;6;"D2";"LEMA";4
2015;7;"D2";"LEMA";0
2016;7;"D2";"LEMA";0
2017;7;"D2";"LEMA";0
2019;7;"D2";"LEMA";2
2015;8;"D2";"LEMA";0
2016;8;"D2";"LEMA";0
2017;8;"D2";"LEMA";0
2019;8;"D2";"LEMA";9
2015;9;"D2";"LEMA";0
2016;9;"D2";"LEMA";0
2017;9;"D2";"LEMA";0
2019;9;"D2";"LEMA";0
2015;1;"D3";"LEMA";9
2016;1;"D3";"LEMA";40
2017;1;"D3";"LEMA";170
2019;1;"D3";"LEMA";50
2015;2;"D3";"LEMA";19
2016;2;"D3";"LEMA";20
2017;2;"D3";"LEMA";180
2019;2;"D3";"LEMA";30
2015;3;"D3";"LEMA";18
2016;3;"D3";"LEMA";52
2017;3;"D3";"LEMA";280
2019;3;"D3";"LEMA";8
2015;4;"D3";"LEMA";25
2016;4;"D3";"LEMA";28
2017;4;"D3";"LEMA";49
2019;4;"D3";"LEMA";9
2015;5;"D3";"LEMA";7
2016;5;"D3";"LEMA";0
2017;5;"D3";"LEMA";46
2019;5;"D3";"LEMA";5
2015;6;"D3";"LEMA";0
2016;6;"D3";"LEMA";4
2017;6;"D3";"LEMA";6
2019;6;"D3";"LEMA";6
2015;7;"D3";"LEMA";0
2016;7;"D3";"LEMA";1
2017;7;"D3";"LEMA";0
2019;7;"D3";"LEMA";12
2015;8;"D3";"LEMA";0
2016;8;"D3";"LEMA";0
2017;8;"D3";"LEMA";0
2019;8;"D3";"LEMA";5
2015;9;"D3";"LEMA";0
2016;9;"D3";"LEMA";0
2017;9;"D3";"LEMA";0
2019;9;"D3";"LEMA";0
2015;1;"D4";"LEMA";13
2016;1;"D4";"LEMA";12
2017;1;"D4";"LEMA";140
2019;1;"D4";"LEMA";40
2015;2;"D4";"LEMA";32
2016;2;"D4";"LEMA";16
2017;2;"D4";"LEMA";120
2019;2;"D4";"LEMA";4
2015;3;"D4";"LEMA";13
2016;3;"D4";"LEMA";16
2017;3;"D4";"LEMA";210
2019;3;"D4";"LEMA";10
2015;4;"D4";"LEMA";14
2016;4;"D4";"LEMA";16
2017;4;"D4";"LEMA";33
2019;4;"D4";"LEMA";15
2015;5;"D4";"LEMA";5
2016;5;"D4";"LEMA";0
2017;5;"D4";"LEMA";62
2019;5;"D4";"LEMA";12
2015;6;"D4";"LEMA";0
2016;6;"D4";"LEMA";4
2017;6;"D4";"LEMA";18
2019;6;"D4";"LEMA";14
2015;7;"D4";"LEMA";0
2016;7;"D4";"LEMA";1
2017;7;"D4";"LEMA";0
2019;7;"D4";"LEMA";10
2015;8;"D4";"LEMA";0
2016;8;"D4";"LEMA";0
2017;8;"D4";"LEMA";0
2019;8;"D4";"LEMA";2
2015;9;"D4";"LEMA";0
2016;9;"D4";"LEMA";0
2017;9;"D4";"LEMA";0
2019;9;"D4";"LEMA";11
2015;1;"D5";"LEMA";17
2016;1;"D5";"LEMA";20
2017;1;"D5";"LEMA";165
2019;1;"D5";"LEMA";15
2015;2;"D5";"LEMA";13
2016;2;"D5";"LEMA";24
2017;2;"D5";"LEMA";150
2019;2;"D5";"LEMA";15
2015;3;"D5";"LEMA";5
2016;3;"D5";"LEMA";56
2017;3;"D5";"LEMA";190
2019;3;"D5";"LEMA";15
2015;4;"D5";"LEMA";5
2016;4;"D5";"LEMA";0
2017;4;"D5";"LEMA";18
2019;4;"D5";"LEMA";10
2015;5;"D5";"LEMA";5
2016;5;"D5";"LEMA";0
2017;5;"D5";"LEMA";54
2019;5;"D5";"LEMA";17
2015;6;"D5";"LEMA";1
2016;6;"D5";"LEMA";4
2017;6;"D5";"LEMA";2
2019;6;"D5";"LEMA";1
2015;7;"D5";"LEMA";0
2016;7;"D5";"LEMA";0
2017;7;"D5";"LEMA";0
2019;7;"D5";"LEMA";10
2015;8;"D5";"LEMA";0
2016;8;"D5";"LEMA";0
2017;8;"D5";"LEMA";0
2019;8;"D5";"LEMA";4
2015;9;"D5";"LEMA";0
2016;9;"D5";"LEMA";0
2017;9;"D5";"LEMA";0
2019;9;"D5";"LEMA";9
2015;1;"D6";"LEMA";16
2016;1;"D6";"LEMA";44
2017;1;"D6";"LEMA";130
2019;1;"D6";"LEMA";35
2015;2;"D6";"LEMA";17
2016;2;"D6";"LEMA";40
2017;2;"D6";"LEMA";75
2019;2;"D6";"LEMA";25
2015;3;"D6";"LEMA";22
2016;3;"D6";"LEMA";1
2017;3;"D6";"LEMA";160
2019;3;"D6";"LEMA";25
2015;4;"D6";"LEMA";1
2016;4;"D6";"LEMA";8
2017;4;"D6";"LEMA";4
2019;4;"D6";"LEMA";0
2015;5;"D6";"LEMA";3
2016;5;"D6";"LEMA";0
2017;5;"D6";"LEMA";43
2019;5;"D6";"LEMA";14
2015;6;"D6";"LEMA";2
2016;6;"D6";"LEMA";12
2017;6;"D6";"LEMA";14
2019;6;"D6";"LEMA";4
2015;7;"D6";"LEMA";0
2016;7;"D6";"LEMA";0
2017;7;"D6";"LEMA";0
2019;7;"D6";"LEMA";4
2015;8;"D6";"LEMA";0
2016;8;"D6";"LEMA";0
2017;8;"D6";"LEMA";0
2019;8;"D6";"LEMA";3
2015;9;"D6";"LEMA";0
2016;9;"D6";"LEMA";0
2017;9;"D6";"LEMA";0
2019;9;"D6";"LEMA";4
2015;1;"E1";"LEMA";22
2016;1;"E1";"LEMA";60
2017;1;"E1";"LEMA";280
2019;1;"E1";"LEMA";30
2015;2;"E1";"LEMA";21
2016;2;"E1";"LEMA";40
2017;2;"E1";"LEMA";120
2019;2;"E1";"LEMA";20
2015;3;"E1";"LEMA";16
2016;3;"E1";"LEMA";0
2017;3;"E1";"LEMA";150
2019;3;"E1";"LEMA";3
2015;4;"E1";"LEMA";12
2016;4;"E1";"LEMA";16
2017;4;"E1";"LEMA";55
2019;4;"E1";"LEMA";30
2015;5;"E1";"LEMA";5
2016;5;"E1";"LEMA";3
2017;5;"E1";"LEMA";21
2019;5;"E1";"LEMA";20
2015;6;"E1";"LEMA";1
2016;6;"E1";"LEMA";0
2017;6;"E1";"LEMA";2
2019;6;"E1";"LEMA";1
2015;7;"E1";"LEMA";0
2016;7;"E1";"LEMA";3
2017;7;"E1";"LEMA";0
2019;7;"E1";"LEMA";0
2015;8;"E1";"LEMA";0
2016;8;"E1";"LEMA";0
2017;8;"E1";"LEMA";0
2019;8;"E1";"LEMA";12
2015;9;"E1";"LEMA";0
2016;9;"E1";"LEMA";0
2017;9;"E1";"LEMA";0
2019;9;"E1";"LEMA";0
2015;1;"E2";"LEMA";11
2016;1;"E2";"LEMA";56
2017;1;"E2";"LEMA";320
2019;1;"E2";"LEMA";40
2015;2;"E2";"LEMA";19
2016;2;"E2";"LEMA";92
2017;2;"E2";"LEMA";190
2019;2;"E2";"LEMA";30
2015;3;"E2";"LEMA";14
2016;3;"E2";"LEMA";12
2017;3;"E2";"LEMA";220
2019;3;"E2";"LEMA";17
2015;4;"E2";"LEMA";9
2016;4;"E2";"LEMA";32
2017;4;"E2";"LEMA";30
2019;4;"E2";"LEMA";10
2015;5;"E2";"LEMA";7
2016;5;"E2";"LEMA";12
2017;5;"E2";"LEMA";39
2019;5;"E2";"LEMA";21
2015;6;"E2";"LEMA";0
2016;6;"E2";"LEMA";4
2017;6;"E2";"LEMA";2
2019;6;"E2";"LEMA";5
2015;7;"E2";"LEMA";0
2016;7;"E2";"LEMA";0
2017;7;"E2";"LEMA";0
2019;7;"E2";"LEMA";1
2015;8;"E2";"LEMA";0
2016;8;"E2";"LEMA";0
2017;8;"E2";"LEMA";0
2019;8;"E2";"LEMA";10
2015;9;"E2";"LEMA";0
2016;9;"E2";"LEMA";0
2017;9;"E2";"LEMA";0
2019;9;"E2";"LEMA";1
2015;1;"E3";"LEMA";15
2016;1;"E3";"LEMA";40
2017;1;"E3";"LEMA";350
2019;1;"E3";"LEMA";30
2015;2;"E3";"LEMA";26
2016;2;"E3";"LEMA";36
2017;2;"E3";"LEMA";140
2019;2;"E3";"LEMA";12
2015;3;"E3";"LEMA";24
2016;3;"E3";"LEMA";4
2017;3;"E3";"LEMA";200
2019;3;"E3";"LEMA";14
2015;4;"E3";"LEMA";18
2016;4;"E3";"LEMA";20
2017;4;"E3";"LEMA";67
2019;4;"E3";"LEMA";25
2015;5;"E3";"LEMA";4
2016;5;"E3";"LEMA";2
2017;5;"E3";"LEMA";42
2019;5;"E3";"LEMA";15
2015;6;"E3";"LEMA";2
2016;6;"E3";"LEMA";12
2017;6;"E3";"LEMA";3
2019;6;"E3";"LEMA";3
2015;7;"E3";"LEMA";0
2016;7;"E3";"LEMA";0
2017;7;"E3";"LEMA";0
2019;7;"E3";"LEMA";10
2015;8;"E3";"LEMA";0
2016;8;"E3";"LEMA";0
2017;8;"E3";"LEMA";0
2019;8;"E3";"LEMA";3
2015;9;"E3";"LEMA";0
2016;9;"E3";"LEMA";2
2017;9;"E3";"LEMA";0
2019;9;"E3";"LEMA";0
2015;1;"E4";"LEMA";10
2016;1;"E4";"LEMA";60
2017;1;"E4";"LEMA";250
2019;1;"E4";"LEMA";30
2015;2;"E4";"LEMA";31
2016;2;"E4";"LEMA";56
2017;2;"E4";"LEMA";180
2019;2;"E4";"LEMA";20
2015;3;"E4";"LEMA";8
2016;3;"E4";"LEMA";32
2017;3;"E4";"LEMA";280
2019;3;"E4";"LEMA";20
2015;4;"E4";"LEMA";13
2016;4;"E4";"LEMA";12
2017;4;"E4";"LEMA";18
2019;4;"E4";"LEMA";18
2015;5;"E4";"LEMA";5
2016;5;"E4";"LEMA";1
2017;5;"E4";"LEMA";47
2019;5;"E4";"LEMA";16
2015;6;"E4";"LEMA";0
2016;6;"E4";"LEMA";0
2017;6;"E4";"LEMA";2
2019;6;"E4";"LEMA";1
2015;7;"E4";"LEMA";0
2016;7;"E4";"LEMA";1
2017;7;"E4";"LEMA";0
2019;7;"E4";"LEMA";15
2015;8;"E4";"LEMA";0
2016;8;"E4";"LEMA";0
2017;8;"E4";"LEMA";0
2019;8;"E4";"LEMA";3
2015;9;"E4";"LEMA";0
2016;9;"E4";"LEMA";3
2017;9;"E4";"LEMA";0
2019;9;"E4";"LEMA";1
2015;1;"E5";"LEMA";9
2016;1;"E5";"LEMA";32
2017;1;"E5";"LEMA";190
2019;1;"E5";"LEMA";50
2015;2;"E5";"LEMA";14
2016;2;"E5";"LEMA";16
2017;2;"E5";"LEMA";110
2019;2;"E5";"LEMA";10
2015;3;"E5";"LEMA";14
2016;3;"E5";"LEMA";56
2017;3;"E5";"LEMA";160
2019;3;"E5";"LEMA";25
2015;4;"E5";"LEMA";4
2016;4;"E5";"LEMA";8
2017;4;"E5";"LEMA";37
2019;4;"E5";"LEMA";15
2015;5;"E5";"LEMA";6
2016;5;"E5";"LEMA";1
2017;5;"E5";"LEMA";68
2019;5;"E5";"LEMA";11
2015;6;"E5";"LEMA";2
2016;6;"E5";"LEMA";4
2017;6;"E5";"LEMA";6
2019;6;"E5";"LEMA";2
2015;7;"E5";"LEMA";0
2016;7;"E5";"LEMA";2
2017;7;"E5";"LEMA";0
2019;7;"E5";"LEMA";7
2015;8;"E5";"LEMA";0
2016;8;"E5";"LEMA";0
2017;8;"E5";"LEMA";0
2019;8;"E5";"LEMA";3
2015;9;"E5";"LEMA";0
2016;9;"E5";"LEMA";0
2017;9;"E5";"LEMA";0
2019;9;"E5";"LEMA";3
2015;1;"E6";"LEMA";11
2016;1;"E6";"LEMA";48
2017;1;"E6";"LEMA";210
2019;1;"E6";"LEMA";30
2015;2;"E6";"LEMA";18
2016;2;"E6";"LEMA";16
2017;2;"E6";"LEMA";120
2019;2;"E6";"LEMA";25
2015;3;"E6";"LEMA";17
2016;3;"E6";"LEMA";12
2017;3;"E6";"LEMA";210
2019;3;"E6";"LEMA";25
2015;4;"E6";"LEMA";10
2016;4;"E6";"LEMA";24
2017;4;"E6";"LEMA";18
2019;4;"E6";"LEMA";5
2015;5;"E6";"LEMA";11
2016;5;"E6";"LEMA";2
2017;5;"E6";"LEMA";90
2019;5;"E6";"LEMA";20
2015;6;"E6";"LEMA";3
2016;6;"E6";"LEMA";0
2017;6;"E6";"LEMA";72
2019;6;"E6";"LEMA";10
2015;7;"E6";"LEMA";0
2016;7;"E6";"LEMA";0
2017;7;"E6";"LEMA";0
2019;7;"E6";"LEMA";10
2015;8;"E6";"LEMA";0
2016;8;"E6";"LEMA";1
2017;8;"E6";"LEMA";0
2019;8;"E6";"LEMA";2
2015;9;"E6";"LEMA";0
2016;9;"E6";"LEMA";0
2017;9;"E6";"LEMA";0
2019;9;"E6";"LEMA";8
2015;1;"F1";"LEMA";35
2016;1;"F1";"LEMA";44
2017;1;"F1";"LEMA";270
2019;1;"F1";"LEMA";15
2015;2;"F1";"LEMA";15
2016;2;"F1";"LEMA";28
2017;2;"F1";"LEMA";240
2019;2;"F1";"LEMA";20
2015;3;"F1";"LEMA";31
2016;3;"F1";"LEMA";24
2017;3;"F1";"LEMA";200
2019;3;"F1";"LEMA";12
2015;4;"F1";"LEMA";1
2016;4;"F1";"LEMA";32
2017;4;"F1";"LEMA";9
2019;4;"F1";"LEMA";16
2015;5;"F1";"LEMA";7
2016;5;"F1";"LEMA";1
2017;5;"F1";"LEMA";39
2019;5;"F1";"LEMA";25
2015;6;"F1";"LEMA";3
2016;6;"F1";"LEMA";16
2017;6;"F1";"LEMA";0
2019;6;"F1";"LEMA";9
2015;7;"F1";"LEMA";0
2016;7;"F1";"LEMA";0
2017;7;"F1";"LEMA";0
2019;7;"F1";"LEMA";1
2015;8;"F1";"LEMA";0
2016;8;"F1";"LEMA";0
2017;8;"F1";"LEMA";0
2019;8;"F1";"LEMA";9
2015;9;"F1";"LEMA";0
2016;9;"F1";"LEMA";3
2017;9;"F1";"LEMA";0
2019;9;"F1";"LEMA";0
2015;1;"F2";"LEMA";20
2016;1;"F2";"LEMA";28
2017;1;"F2";"LEMA";260
2019;1;"F2";"LEMA";20
2015;2;"F2";"LEMA";18
2016;2;"F2";"LEMA";40
2017;2;"F2";"LEMA";125
2019;2;"F2";"LEMA";10
2015;3;"F2";"LEMA";22
2016;3;"F2";"LEMA";24
2017;3;"F2";"LEMA";320
2019;3;"F2";"LEMA";20
2015;4;"F2";"LEMA";1
2016;4;"F2";"LEMA";8
2017;4;"F2";"LEMA";9
2019;4;"F2";"LEMA";1
2015;5;"F2";"LEMA";5
2016;5;"F2";"LEMA";0
2017;5;"F2";"LEMA";29
2019;5;"F2";"LEMA";30
2015;6;"F2";"LEMA";4
2016;6;"F2";"LEMA";8
2017;6;"F2";"LEMA";0
2019;6;"F2";"LEMA";3
2015;7;"F2";"LEMA";0
2016;7;"F2";"LEMA";0
2017;7;"F2";"LEMA";0
2019;7;"F2";"LEMA";1
2015;8;"F2";"LEMA";0
2016;8;"F2";"LEMA";0
2017;8;"F2";"LEMA";0
2019;8;"F2";"LEMA";1
2015;9;"F2";"LEMA";0
2016;9;"F2";"LEMA";0
2017;9;"F2";"LEMA";0
2019;9;"F2";"LEMA";0
2015;1;"F3";"LEMA";18
2016;1;"F3";"LEMA";36
2017;1;"F3";"LEMA";310
2019;1;"F3";"LEMA";25
2015;2;"F3";"LEMA";25
2016;2;"F3";"LEMA";44
2017;2;"F3";"LEMA";100
2019;2;"F3";"LEMA";35
2015;3;"F3";"LEMA";17
2016;3;"F3";"LEMA";16
2017;3;"F3";"LEMA";290
2019;3;"F3";"LEMA";15
2015;4;"F3";"LEMA";1
2016;4;"F3";"LEMA";8
2017;4;"F3";"LEMA";0
2019;4;"F3";"LEMA";2
2015;5;"F3";"LEMA";6
2016;5;"F3";"LEMA";0
2017;5;"F3";"LEMA";94
2019;5;"F3";"LEMA";20
2015;6;"F3";"LEMA";1
2016;6;"F3";"LEMA";12
2017;6;"F3";"LEMA";4
2019;6;"F3";"LEMA";7
2015;7;"F3";"LEMA";0
2016;7;"F3";"LEMA";1
2017;7;"F3";"LEMA";0
2019;7;"F3";"LEMA";8
2015;8;"F3";"LEMA";0
2016;8;"F3";"LEMA";0
2017;8;"F3";"LEMA";0
2019;8;"F3";"LEMA";0
2015;9;"F3";"LEMA";0
2016;9;"F3";"LEMA";0
2017;9;"F3";"LEMA";0
2019;9;"F3";"LEMA";0
2015;1;"F4";"LEMA";15
2016;1;"F4";"LEMA";28
2017;1;"F4";"LEMA";270
2019;1;"F4";"LEMA";30
2015;2;"F4";"LEMA";34
2016;2;"F4";"LEMA";28
2017;2;"F4";"LEMA";70
2019;2;"F4";"LEMA";30
2015;3;"F4";"LEMA";30
2016;3;"F4";"LEMA";28
2017;3;"F4";"LEMA";300
2019;3;"F4";"LEMA";30
2015;4;"F4";"LEMA";2
2016;4;"F4";"LEMA";8
2017;4;"F4";"LEMA";21
2019;4;"F4";"LEMA";9
2015;5;"F4";"LEMA";6
2016;5;"F4";"LEMA";4
2017;5;"F4";"LEMA";80
2019;5;"F4";"LEMA";40
2015;6;"F4";"LEMA";5
2016;6;"F4";"LEMA";4
2017;6;"F4";"LEMA";0
2019;6;"F4";"LEMA";8
2015;7;"F4";"LEMA";0
2016;7;"F4";"LEMA";0
2017;7;"F4";"LEMA";0
2019;7;"F4";"LEMA";5
2015;8;"F4";"LEMA";0
2016;8;"F4";"LEMA";0
2017;8;"F4";"LEMA";0
